Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
Palmeiras,34,18,8,8,56,30,+26,62,1.82,49.7,35.5,+14.2,+0.42,WWWLW,"21,592",Endrick-9,Wéverton,,
Botafogo (RJ),34,18,7,9,55,32,+23,61,1.79,45.0,44.7,+0.3,+0.01,LLLDD,"23,166",Tiquinho Soares-16,Lucas Perri,,
Flamengo,34,17,9,8,51,37,+14,60,1.76,43.8,42.0,+1.8,+0.05,LWWDW,"34,878",Pedro-11,Matheus Cunha,,
Grêmio,34,18,5,11,57,50,+7,59,1.74,44.4,49.4,-5.0,-0.15,WWWWL,"20,773",Luis Suárez-14,Gabriel Chapecó,,
Bragantino,34,16,11,7,46,30,+16,59,1.74,52.9,38.9,+14.1,+0.41,WWLDL,"3,211",Eduardo Sasha-10,Cleiton Schwengber,,
Atlético Mineiro,34,16,9,9,43,27,+16,57,1.68,41.3,35.2,+6.2,+0.18,WWDDW,"13,619",Paulinho-17,Éverson,,
Ath Paranaense,34,13,12,9,47,39,+8,51,1.50,46.7,39.1,+7.6,+0.22,DLLDD,"14,920",Vitor Roque-11,Bento,,
Fluminense,34,14,8,12,44,42,+2,50,1.47,44.7,41.7,+3.1,+0.09,LLDDW,"22,436",Germán Cano-8,Fábio,,
Cuiabá,34,13,8,13,36,35,+1,47,1.38,34.7,37.4,-2.8,-0.08,WLDWW,"8,586",Deyverson-12,Walter,,
São Paulo,34,12,10,12,37,36,+1,46,1.35,44.8,34.4,+10.4,+0.31,DWWDL,"26,130",Jonathan Calleri-9,Rafael Pires,,
Fortaleza,34,12,8,14,38,40,-2,44,1.29,46.6,39.9,+6.7,+0.20,LDLLD,"21,891",Juan Martín Lucero-8,João Ricardo Riedi,,
Corinthians,34,10,14,10,39,39,0,44,1.29,35.5,43.6,-8.1,-0.24,DWLDW,"24,719",Yuri Alberto-8,Cássio,,
Internacional,34,11,10,13,38,43,-5,43,1.26,37.3,43.9,-6.6,-0.19,LDWDL,"11,253","Enner Valencia,Wanderson-6",Sergio Rochet,,
Santos,34,11,9,14,37,55,-18,42,1.24,38.9,46.2,-7.4,-0.22,DWDWD,"6,022",Marcos Leonardo-13,João Paulo,,
Vasco da Gama,34,11,8,15,37,45,-8,41,1.21,43.2,41.7,+1.4,+0.04,DWWWD,"15,031",Pablo Vegetti-9,Léo Jardim,,
Cruzeiro,34,10,11,13,32,30,+2,41,1.21,40.9,38.0,+2.9,+0.08,LLLWD,"16,030",Bruno Nascimento-8,Rafael Cabral,,
Bahia,34,10,8,16,39,47,-8,38,1.12,41.8,47.1,-5.3,-0.16,LWLLD,"25,488",Everaldo Stum-8,Marcos Felipe,,
Goiás,34,8,11,15,34,49,-15,35,1.03,34.3,41.9,-7.6,-0.22,DLWLL,"6,551",Guilherme-6,Tadeu,,
Coritiba,34,8,5,21,39,67,-28,29,0.85,35.8,54.0,-18.2,-0.53,WLLWW,"11,042",Robson-12,Gabriel,,
América (MG),34,4,9,21,39,71,-32,21,0.62,44.2,51.9,-7.7,-0.23,LDDLL,"2,515",Gonzalo Mastriani-11,Matheus Cavichioli,,
